Date	Date (UTC)	Month	Day	Hour (UTC)	food
0	1/1/13	1	1	0	14.24098699
0.04	1/1/13	1	1	1	14.48190256
0.08	1/1/13	1	1	2	14.72267534
0.12	1/1/13	1	1	3	14.96323398
0.17	1/1/13	1	1	4	15.20350718
0.21	1/1/13	1	1	5	15.44342376
0.25	1/1/13	1	1	6	15.68291263
0.29	1/1/13	1	1	7	15.92190281
0.33	1/1/13	1	1	8	16.16032349
0.37	1/1/13	1	1	9	16.39810402
0.42	1/1/13	1	1	10	16.63517394
0.46	1/1/13	1	1	11	16.871463
0.5	1/1/13	1	1	12	17.10690118
0.54	1/1/13	1	1	13	17.34141872
0.58	1/1/13	1	1	14	17.57494613
0.62	1/1/13	1	1	15	17.80741421
0.67	1/1/13	1	1	16	18.03875406
0.71	1/1/13	1	1	17	18.26889715
0.75	1/1/13	1	1	18	18.49777526
0.79	1/1/13	1	1	19	18.72532059
0.83	1/1/13	1	1	20	18.95146571
0.87	1/1/13	1	1	21	19.1761436
0.92	1/1/13	1	1	22	19.39928769
0.96	1/1/13	1	1	23	19.62083185
1	1/2/13	1	2	0	19.84071044
1.04	1/2/13	1	2	1	20.0588583
1.08	1/2/13	1	2	2	20.27521078
1.12	1/2/13	1	2	3	20.48970379
1.17	1/2/13	1	2	4	20.70227376
1.21	1/2/13	1	2	5	20.9128577
1.25	1/2/13	1	2	6	21.12139321
1.29	1/2/13	1	2	7	21.3278185
1.33	1/2/13	1	2	8	21.5320724
1.37	1/2/13	1	2	9	21.73409438
1.42	1/2/13	1	2	10	21.93382459
1.46	1/2/13	1	2	11	22.13120383
1.5	1/2/13	1	2	12	22.32617362
1.54	1/2/13	1	2	13	22.51867618
1.58	1/2/13	1	2	14	22.70865448
1.62	1/2/13	1	2	15	22.89605221
1.67	1/2/13	1	2	16	23.08081385
1.71	1/2/13	1	2	17	23.26288466
1.75	1/2/13	1	2	18	23.44221066
1.79	1/2/13	1	2	19	23.61873874
1.83	1/2/13	1	2	20	23.79241658
1.87	1/2/13	1	2	21	23.96319271
1.92	1/2/13	1	2	22	24.13101654
1.96	1/2/13	1	2	23	24.29583832
2	1/3/13	1	3	0	24.45760923
2.04	1/3/13	1	3	1	24.61628132
2.08	1/3/13	1	3	2	24.77180758
2.12	1/3/13	1	3	3	24.92414191
2.17	1/3/13	1	3	4	25.07323919
2.21	1/3/13	1	3	5	25.21905523
2.25	1/3/13	1	3	6	25.36154683
2.29	1/3/13	1	3	7	25.50067175
2.33	1/3/13	1	3	8	25.63638877
2.37	1/3/13	1	3	9	25.76865768
2.42	1/3/13	1	3	10	25.89743928
2.46	1/3/13	1	3	11	26.02269542
2.5	1/3/13	1	3	12	26.14438897
2.54	1/3/13	1	3	13	26.26248387
2.58	1/3/13	1	3	14	26.37694514
2.62	1/3/13	1	3	15	26.48773885
2.67	1/3/13	1	3	16	26.59483218
2.71	1/3/13	1	3	17	26.69819338
2.75	1/3/13	1	3	18	26.79779183
2.79	1/3/13	1	3	19	26.89359803
2.83	1/3/13	1	3	20	26.98558357
2.87	1/3/13	1	3	21	27.0737212
2.92	1/3/13	1	3	22	27.15798481
2.96	1/3/13	1	3	23	27.23834942
3	1/4/13	1	4	0	27.31479123
3.04	1/4/13	1	4	1	27.38728757
3.08	1/4/13	1	4	2	27.45581697
3.12	1/4/13	1	4	3	27.52035913
3.17	1/4/13	1	4	4	27.58089491
3.21	1/4/13	1	4	5	27.63740637
3.25	1/4/13	1	4	6	27.68987678
3.29	1/4/13	1	4	7	27.73829058
3.33	1/4/13	1	4	8	27.78263343
3.37	1/4/13	1	4	9	27.82289219
3.42	1/4/13	1	4	10	27.85905493
3.46	1/4/13	1	4	11	27.89111093
3.5	1/4/13	1	4	12	27.9190507
3.54	1/4/13	1	4	13	27.94286595
3.58	1/4/13	1	4	14	27.96254962
3.62	1/4/13	1	4	15	27.9780959
3.67	1/4/13	1	4	16	27.98950016
3.71	1/4/13	1	4	17	27.99675903
3.75	1/4/13	1	4	18	27.99987036
3.79	1/4/13	1	4	19	27.99883322
3.83	1/4/13	1	4	20	27.99364793
3.87	1/4/13	1	4	21	27.98431602
3.92	1/4/13	1	4	22	27.97084025
3.96	1/4/13	1	4	23	27.95322462
4	1/5/13	1	5	0	27.93147436
4.04	1/5/13	1	5	1	27.90559589
4.08	1/5/13	1	5	2	27.8755969
4.12	1/5/13	1	5	3	27.84148626
4.17	1/5/13	1	5	4	27.8032741
4.21	1/5/13	1	5	5	27.76097173
4.25	1/5/13	1	5	6	27.71459168
4.29	1/5/13	1	5	7	27.66414771
4.33	1/5/13	1	5	8	27.60965475
4.37	1/5/13	1	5	9	27.55112896
4.42	1/5/13	1	5	10	27.48858768
4.46	1/5/13	1	5	11	27.42204944
4.5	1/5/13	1	5	12	27.35153395
4.54	1/5/13	1	5	13	27.27706212
4.58	1/5/13	1	5	14	27.19865601
4.62	1/5/13	1	5	15	27.11633885
4.67	1/5/13	1	5	16	27.03013503
4.71	1/5/13	1	5	17	26.94007011
4.75	1/5/13	1	5	18	26.84617076
4.79	1/5/13	1	5	19	26.74846482
4.83	1/5/13	1	5	20	26.64698123
4.87	1/5/13	1	5	21	26.54175007
4.92	1/5/13	1	5	22	26.43280252
4.96	1/5/13	1	5	23	26.32017086
5	1/6/13	1	6	0	26.20388846
5.04	1/6/13	1	6	1	26.08398979
5.08	1/6/13	1	6	2	25.96051038
5.12	1/6/13	1	6	3	25.8334868
5.17	1/6/13	1	6	4	25.70295671
5.21	1/6/13	1	6	5	25.56895878
5.25	1/6/13	1	6	6	25.43153272
5.29	1/6/13	1	6	7	25.29071925
5.33	1/6/13	1	6	8	25.14656009
5.37	1/6/13	1	6	9	24.99909797
5.42	1/6/13	1	6	10	24.84837658
5.46	1/6/13	1	6	11	24.69444058
5.5	1/6/13	1	6	12	24.53733559
5.54	1/6/13	1	6	13	24.37710815
5.58	1/6/13	1	6	14	24.21380576
5.62	1/6/13	1	6	15	24.04747679
5.67	1/6/13	1	6	16	23.87817054
5.71	1/6/13	1	6	17	23.70593718
5.75	1/6/13	1	6	18	23.53082773
5.79	1/6/13	1	6	19	23.3528941
5.83	1/6/13	1	6	20	23.172189
5.87	1/6/13	1	6	21	22.98876599
5.92	1/6/13	1	6	22	22.8026794
5.96	1/6/13	1	6	23	22.6139844
6	1/7/13	1	7	0	22.42273689
6.04	1/7/13	1	7	1	22.22899353
6.08	1/7/13	1	7	2	22.03281175
6.12	1/7/13	1	7	3	21.83424967
6.17	1/7/13	1	7	4	21.63336614
6.21	1/7/13	1	7	5	21.43022067
6.25	1/7/13	1	7	6	21.22487347
6.29	1/7/13	1	7	7	21.01738539
6.33	1/7/13	1	7	8	20.8078179
6.37	1/7/13	1	7	9	20.59623311
6.42	1/7/13	1	7	10	20.38269371
6.46	1/7/13	1	7	11	20.16726298
6.5	1/7/13	1	7	12	19.95000476
6.54	1/7/13	1	7	13	19.73098342
6.58	1/7/13	1	7	14	19.51026387
6.62	1/7/13	1	7	15	19.28791151
6.67	1/7/13	1	7	16	19.06399223
6.71	1/7/13	1	7	17	18.83857238
6.75	1/7/13	1	7	18	18.61171875
6.79	1/7/13	1	7	19	18.38349857
6.83	1/7/13	1	7	20	18.15397947
6.87	1/7/13	1	7	21	17.92322945
6.92	1/7/13	1	7	22	17.6913169
6.96	1/7/13	1	7	23	17.45831053
7	1/8/13	1	8	0	17.22427938
7.04	1/8/13	1	8	1	16.98929282
7.08	1/8/13	1	8	2	16.75342046
7.12	1/8/13	1	8	3	16.5167322
7.17	1/8/13	1	8	4	16.27929818
7.21	1/8/13	1	8	5	16.04118876
7.25	1/8/13	1	8	6	15.80247448
7.29	1/8/13	1	8	7	15.5632261
7.33	1/8/13	1	8	8	15.3235145
7.37	1/8/13	1	8	9	15.08341071
7.42	1/8/13	1	8	10	14.84298588
7.46	1/8/13	1	8	11	14.60231126
7.5	1/8/13	1	8	12	14.36145816
7.54	1/8/13	1	8	13	14.12049796
7.58	1/8/13	1	8	14	13.87950204
7.62	1/8/13	1	8	15	13.63854184
7.67	1/8/13	1	8	16	13.39768874
7.71	1/8/13	1	8	17	13.15701412
7.75	1/8/13	1	8	18	12.91658929
7.79	1/8/13	1	8	19	12.6764855
7.83	1/8/13	1	8	20	12.4367739
7.87	1/8/13	1	8	21	12.19752552
7.92	1/8/13	1	8	22	11.95881124
7.96	1/8/13	1	8	23	11.72070182
8	1/9/13	1	9	0	11.4832678
8.04	1/9/13	1	9	1	11.24657954
8.08	1/9/13	1	9	2	11.01070718
8.12	1/9/13	1	9	3	10.77572062
8.17	1/9/13	1	9	4	10.54168947
8.21	1/9/13	1	9	5	10.3086831
8.25	1/9/13	1	9	6	10.07677055
8.29	1/9/13	1	9	7	9.84602053
8.33	1/9/13	1	9	8	9.616501427
8.37	1/9/13	1	9	9	9.388281249
8.42	1/9/13	1	9	10	9.161427623
8.46	1/9/13	1	9	11	8.93600777
8.5	1/9/13	1	9	12	8.712088487
8.54	1/9/13	1	9	13	8.489736127
8.58	1/9/13	1	9	14	8.269016577
8.62	1/9/13	1	9	15	8.04999524
8.67	1/9/13	1	9	16	7.832737019
8.71	1/9/13	1	9	17	7.617306291
8.75	1/9/13	1	9	18	7.403766893
8.79	1/9/13	1	9	19	7.1921821
8.83	1/9/13	1	9	20	6.982614612
8.87	1/9/13	1	9	21	6.775126526
8.92	1/9/13	1	9	22	6.569779326
8.96	1/9/13	1	9	23	6.36663386
9	1/10/13	1	10	0	6.165750326
9.04	1/10/13	1	10	1	5.967188249
9.08	1/10/13	1	10	2	5.771006468
9.12	1/10/13	1	10	3	5.577263115
9.17	1/10/13	1	10	4	5.386015601
9.21	1/10/13	1	10	5	5.197320596
9.25	1/10/13	1	10	6	5.011234015
9.29	1/10/13	1	10	7	4.827810999
9.33	1/10/13	1	10	8	4.647105901
9.37	1/10/13	1	10	9	4.469172267
9.42	1/10/13	1	10	10	4.294062824
9.46	1/10/13	1	10	11	4.121829458
9.5	1/10/13	1	10	12	3.952523209
9.54	1/10/13	1	10	13	3.786194243
9.58	1/10/13	1	10	14	3.622891848
9.62	1/10/13	1	10	15	3.462664415
9.67	1/10/13	1	10	16	3.305559421
9.71	1/10/13	1	10	17	3.151623421
9.75	1/10/13	1	10	18	3.000902029
9.79	1/10/13	1	10	19	2.853439907
9.83	1/10/13	1	10	20	2.709280752
9.87	1/10/13	1	10	21	2.56846728
9.92	1/10/13	1	10	22	2.431041218
9.96	1/10/13	1	10	23	2.297043288
10	1/11/13	1	11	0	2.166513197
10.04	1/11/13	1	11	1	2.039489624
10.08	1/11/13	1	11	2	1.916010207
10.12	1/11/13	1	11	3	1.796111538
10.17	1/11/13	1	11	4	1.679829144
10.21	1/11/13	1	11	5	1.567197483
10.25	1/11/13	1	11	6	1.45824993
10.29	1/11/13	1	11	7	1.353018767
10.33	1/11/13	1	11	8	1.251535179
10.37	1/11/13	1	11	9	1.153829235
10.42	1/11/13	1	11	10	1.059929889
10.46	1/11/13	1	11	11	0.969864965
10.5	1/11/13	1	11	12	0.883661152
10.54	1/11/13	1	11	13	0.801343993
10.58	1/11/13	1	11	14	0.72293788
10.62	1/11/13	1	11	15	0.648466047
10.67	1/11/13	1	11	16	0.577950562
10.71	1/11/13	1	11	17	0.51141232
10.75	1/11/13	1	11	18	0.448871038
10.79	1/11/13	1	11	19	0.390345247
10.83	1/11/13	1	11	20	0.335852291
10.87	1/11/13	1	11	21	0.285408317
