Date	Date (UTC)	Month	Day	Hour (UTC)	shell_length (cm)
0	1/1/13	1	1	0	0.018000004
0.04	1/1/13	1	1	1	0.01817403
0.08	1/1/13	1	1	2	0.018343471
0.12	1/1/13	1	1	3	0.018508416
0.17	1/1/13	1	1	4	0.018668885
0.21	1/1/13	1	1	5	0.01882489
0.25	1/1/13	1	1	6	0.018976441
0.29	1/1/13	1	1	7	0.019123564
0.33	1/1/13	1	1	8	0.019266345
0.37	1/1/13	1	1	9	0.019404868
0.42	1/1/13	1	1	10	0.019539216
0.46	1/1/13	1	1	11	0.01966947
0.5	1/1/13	1	1	12	0.019795709
0.54	1/1/13	1	1	13	0.019918008
0.58	1/1/13	1	1	14	0.020036442
0.62	1/1/13	1	1	15	0.020151086
0.67	1/1/13	1	1	16	0.020262009
0.71	1/1/13	1	1	17	0.020369285
0.75	1/1/13	1	1	18	0.020472981
0.79	1/1/13	1	1	19	0.020573168
0.83	1/1/13	1	1	20	0.020669835
0.87	1/1/13	1	1	21	0.020760917
0.92	1/1/13	1	1	22	0.020846806
0.96	1/1/13	1	1	23	0.02092912
1	1/2/13	1	2	0	0.021009243
1.04	1/2/13	1	2	1	0.021088341
1.08	1/2/13	1	2	2	0.021167367
1.12	1/2/13	1	2	3	0.021247073
1.17	1/2/13	1	2	4	0.021328017
1.21	1/2/13	1	2	5	0.021410566
1.25	1/2/13	1	2	6	0.021494908
1.29	1/2/13	1	2	7	0.021581053
1.33	1/2/13	1	2	8	0.021668842
1.37	1/2/13	1	2	9	0.021757956
1.42	1/2/13	1	2	10	0.021848062
1.46	1/2/13	1	2	11	0.021940044
1.5	1/2/13	1	2	12	0.022034058
1.54	1/2/13	1	2	13	0.022129974
1.58	1/2/13	1	2	14	0.022227668
1.62	1/2/13	1	2	15	0.022327027
1.67	1/2/13	1	2	16	0.022427946
1.71	1/2/13	1	2	17	0.022530328
1.75	1/2/13	1	2	18	0.022634084
1.79	1/2/13	1	2	19	0.02273913
1.83	1/2/13	1	2	20	0.022845393
1.87	1/2/13	1	2	21	0.022952806
1.92	1/2/13	1	2	22	0.023061308
1.96	1/2/13	1	2	23	0.023170846
2	1/3/13	1	3	0	0.023281373
2.04	1/3/13	1	3	1	0.023392847
2.08	1/3/13	1	3	2	0.023505234
2.12	1/3/13	1	3	3	0.023618489
2.17	1/3/13	1	3	4	0.023732543
2.21	1/3/13	1	3	5	0.023847358
2.25	1/3/13	1	3	6	0.023962903
2.29	1/3/13	1	3	7	0.024079147
2.33	1/3/13	1	3	8	0.02419606
2.37	1/3/13	1	3	9	0.024313615
2.42	1/3/13	1	3	10	0.024431783
2.46	1/3/13	1	3	11	0.024550539
2.5	1/3/13	1	3	12	0.024669856
2.54	1/3/13	1	3	13	0.024789711
2.58	1/3/13	1	3	14	0.02491008
2.62	1/3/13	1	3	15	0.025030941
2.67	1/3/13	1	3	16	0.025152273
