Date	Date (UTC)	Month	Day	Hour (UTC)	wetweight_g
0	1/1/13	1	1	0	2.70E-07
0.04	1/1/13	1	1	1	2.70E-07
0.08	1/1/13	1	1	2	2.69E-07
0.12	1/1/13	1	1	3	2.69E-07
0.17	1/1/13	1	1	4	2.68E-07
0.21	1/1/13	1	1	5	2.68E-07
0.25	1/1/13	1	1	6	2.67E-07
0.29	1/1/13	1	1	7	2.67E-07
0.33	1/1/13	1	1	8	2.66E-07
0.37	1/1/13	1	1	9	2.66E-07
0.42	1/1/13	1	1	10	2.65E-07
0.46	1/1/13	1	1	11	2.65E-07
0.5	1/1/13	1	1	12	2.64E-07
0.54	1/1/13	1	1	13	2.64E-07
0.58	1/1/13	1	1	14	2.63E-07
0.62	1/1/13	1	1	15	2.63E-07
0.67	1/1/13	1	1	16	2.63E-07
0.71	1/1/13	1	1	17	2.62E-07
0.75	1/1/13	1	1	18	2.62E-07
0.79	1/1/13	1	1	19	2.61E-07
0.83	1/1/13	1	1	20	2.61E-07
0.87	1/1/13	1	1	21	2.60E-07
0.92	1/1/13	1	1	22	2.59E-07
0.96	1/1/13	1	1	23	2.57E-07
1	1/2/13	1	2	0	2.56E-07
1.04	1/2/13	1	2	1	2.57E-07
1.08	1/2/13	1	2	2	2.58E-07
1.12	1/2/13	1	2	3	2.60E-07
1.17	1/2/13	1	2	4	2.64E-07
1.21	1/2/13	1	2	5	2.68E-07
1.25	1/2/13	1	2	6	2.74E-07
1.29	1/2/13	1	2	7	2.81E-07
1.33	1/2/13	1	2	8	2.88E-07
1.37	1/2/13	1	2	9	2.95E-07
1.42	1/2/13	1	2	10	3.02E-07
1.46	1/2/13	1	2	11	3.09E-07
1.5	1/2/13	1	2	12	3.15E-07
1.54	1/2/13	1	2	13	3.22E-07
1.58	1/2/13	1	2	14	3.29E-07
1.62	1/2/13	1	2	15	3.36E-07
1.67	1/2/13	1	2	16	3.43E-07
1.71	1/2/13	1	2	17	3.50E-07
1.75	1/2/13	1	2	18	3.57E-07
1.79	1/2/13	1	2	19	3.64E-07
1.83	1/2/13	1	2	20	3.71E-07
1.87	1/2/13	1	2	21	3.78E-07
1.92	1/2/13	1	2	22	3.85E-07
1.96	1/2/13	1	2	23	3.93E-07
2	1/3/13	1	3	0	4.00E-07
2.04	1/3/13	1	3	1	4.08E-07
2.08	1/3/13	1	3	2	4.15E-07
2.12	1/3/13	1	3	3	4.23E-07
2.17	1/3/13	1	3	4	4.31E-07
2.21	1/3/13	1	3	5	4.38E-07
2.25	1/3/13	1	3	6	4.46E-07
2.29	1/3/13	1	3	7	4.54E-07
2.33	1/3/13	1	3	8	4.62E-07
2.37	1/3/13	1	3	9	4.70E-07
2.42	1/3/13	1	3	10	4.78E-07
2.46	1/3/13	1	3	11	4.87E-07
2.5	1/3/13	1	3	12	4.95E-07
2.54	1/3/13	1	3	13	5.03E-07
2.58	1/3/13	1	3	14	5.12E-07
2.62	1/3/13	1	3	15	5.20E-07
2.67	1/3/13	1	3	16	5.29E-07
2.71	1/3/13	1	3	17	5.38E-07
2.75	1/3/13	1	3	18	5.47E-07
2.79	1/3/13	1	3	19	5.56E-07
2.83	1/3/13	1	3	20	5.65E-07
2.87	1/3/13	1	3	21	5.74E-07
2.92	1/3/13	1	3	22	5.83E-07
2.96	1/3/13	1	3	23	5.92E-07
3	1/4/13	1	4	0	6.02E-07
3.04	1/4/13	1	4	1	6.11E-07
3.08	1/4/13	1	4	2	6.21E-07
3.12	1/4/13	1	4	3	6.30E-07
3.17	1/4/13	1	4	4	6.40E-07
3.21	1/4/13	1	4	5	6.50E-07
3.25	1/4/13	1	4	6	6.60E-07
3.29	1/4/13	1	4	7	6.70E-07
3.33	1/4/13	1	4	8	6.80E-07
3.37	1/4/13	1	4	9	6.90E-07
3.42	1/4/13	1	4	10	7.00E-07
3.46	1/4/13	1	4	11	7.11E-07
3.5	1/4/13	1	4	12	7.21E-07
3.54	1/4/13	1	4	13	7.32E-07
3.58	1/4/13	1	4	14	7.43E-07
3.62	1/4/13	1	4	15	7.53E-07
3.67	1/4/13	1	4	16	7.64E-07
3.71	1/4/13	1	4	17	7.75E-07
3.75	1/4/13	1	4	18	7.87E-07
3.79	1/4/13	1	4	19	7.98E-07
3.83	1/4/13	1	4	20	8.09E-07
3.87	1/4/13	1	4	21	8.21E-07
3.92	1/4/13	1	4	22	8.32E-07
3.96	1/4/13	1	4	23	8.44E-07
4	1/5/13	1	5	0	8.56E-07
4.04	1/5/13	1	5	1	8.67E-07
4.08	1/5/13	1	5	2	8.79E-07
4.12	1/5/13	1	5	3	8.91E-07
4.17	1/5/13	1	5	4	9.04E-07
4.21	1/5/13	1	5	5	9.16E-07
4.25	1/5/13	1	5	6	9.28E-07
4.29	1/5/13	1	5	7	9.41E-07
4.33	1/5/13	1	5	8	9.54E-07
4.37	1/5/13	1	5	9	9.66E-07
4.42	1/5/13	1	5	10	9.79E-07
4.46	1/5/13	1	5	11	9.92E-07
4.5	1/5/13	1	5	12	1.01E-06
4.54	1/5/13	1	5	13	1.02E-06
4.58	1/5/13	1	5	14	1.03E-06
4.62	1/5/13	1	5	15	1.05E-06
4.67	1/5/13	1	5	16	1.06E-06
4.71	1/5/13	1	5	17	1.07E-06
4.75	1/5/13	1	5	18	1.09E-06
4.79	1/5/13	1	5	19	1.10E-06
4.83	1/5/13	1	5	20	1.11E-06
4.87	1/5/13	1	5	21	1.13E-06
4.92	1/5/13	1	5	22	1.14E-06
4.96	1/5/13	1	5	23	1.16E-06
5	1/6/13	1	6	0	1.17E-06
5.04	1/6/13	1	6	1	1.19E-06
5.08	1/6/13	1	6	2	1.20E-06
5.12	1/6/13	1	6	3	1.22E-06
5.17	1/6/13	1	6	4	1.23E-06
5.21	1/6/13	1	6	5	1.25E-06
5.25	1/6/13	1	6	6	1.26E-06
5.29	1/6/13	1	6	7	1.28E-06
5.33	1/6/13	1	6	8	1.29E-06
5.37	1/6/13	1	6	9	1.31E-06
5.42	1/6/13	1	6	10	1.32E-06
5.46	1/6/13	1	6	11	1.34E-06
5.5	1/6/13	1	6	12	1.35E-06
5.54	1/6/13	1	6	13	1.37E-06
5.58	1/6/13	1	6	14	1.39E-06
5.62	1/6/13	1	6	15	1.40E-06
5.67	1/6/13	1	6	16	1.42E-06
5.71	1/6/13	1	6	17	1.44E-06
5.75	1/6/13	1	6	18	1.45E-06
5.79	1/6/13	1	6	19	1.47E-06
5.83	1/6/13	1	6	20	1.49E-06
5.87	1/6/13	1	6	21	1.50E-06
5.92	1/6/13	1	6	22	1.52E-06
5.96	1/6/13	1	6	23	1.54E-06
6	1/7/13	1	7	0	1.56E-06
6.04	1/7/13	1	7	1	1.58E-06
6.08	1/7/13	1	7	2	1.59E-06
6.12	1/7/13	1	7	3	1.61E-06
6.17	1/7/13	1	7	4	1.63E-06
6.21	1/7/13	1	7	5	1.65E-06
6.25	1/7/13	1	7	6	1.67E-06
6.29	1/7/13	1	7	7	1.68E-06
6.33	1/7/13	1	7	8	1.70E-06
6.37	1/7/13	1	7	9	1.72E-06
6.42	1/7/13	1	7	10	1.74E-06
6.46	1/7/13	1	7	11	1.76E-06
6.5	1/7/13	1	7	12	1.78E-06
6.54	1/7/13	1	7	13	1.80E-06
6.58	1/7/13	1	7	14	1.82E-06
6.62	1/7/13	1	7	15	1.84E-06
6.67	1/7/13	1	7	16	1.86E-06
