Date	Date (UTC)	Month	Day	Hour (UTC)	Water temp
0	1/1/13	1	1	0	9
0.04	1/1/13	1	1	1	9
0.08	1/1/13	1	1	2	9.01
0.12	1/1/13	1	1	3	9.01
0.17	1/1/13	1	1	4	9.01
0.21	1/1/13	1	1	5	9.02
0.25	1/1/13	1	1	6	9.02
0.29	1/1/13	1	1	7	9.02
0.33	1/1/13	1	1	8	9.03
0.37	1/1/13	1	1	9	9.03
0.42	1/1/13	1	1	10	9.03
0.46	1/1/13	1	1	11	9.04
0.5	1/1/13	1	1	12	9.04
0.54	1/1/13	1	1	13	9.04
0.58	1/1/13	1	1	14	9.05
0.62	1/1/13	1	1	15	9.05
0.67	1/1/13	1	1	16	9.05
0.71	1/1/13	1	1	17	9.06
0.75	1/1/13	1	1	18	9.06
0.79	1/1/13	1	1	19	9.06
0.83	1/1/13	1	1	20	9.07
0.87	1/1/13	1	1	21	9.07
0.92	1/1/13	1	1	22	9.07
0.96	1/1/13	1	1	23	9.08
1	1/2/13	1	2	0	9.08
1.04	1/2/13	1	2	1	9.08
1.08	1/2/13	1	2	2	9.09
1.12	1/2/13	1	2	3	9.09
1.17	1/2/13	1	2	4	9.09
1.21	1/2/13	1	2	5	9.09
1.25	1/2/13	1	2	6	9.1
1.29	1/2/13	1	2	7	9.1
1.33	1/2/13	1	2	8	9.1
1.37	1/2/13	1	2	9	9.11
1.42	1/2/13	1	2	10	9.11
1.46	1/2/13	1	2	11	9.11
1.5	1/2/13	1	2	12	9.12
1.54	1/2/13	1	2	13	9.12
1.58	1/2/13	1	2	14	9.12
1.62	1/2/13	1	2	15	9.13
1.67	1/2/13	1	2	16	9.13
1.71	1/2/13	1	2	17	9.13
1.75	1/2/13	1	2	18	9.14
1.79	1/2/13	1	2	19	9.14
1.83	1/2/13	1	2	20	9.14
1.87	1/2/13	1	2	21	9.15
1.92	1/2/13	1	2	22	9.15
1.96	1/2/13	1	2	23	9.15
2	1/3/13	1	3	0	9.16
2.04	1/3/13	1	3	1	9.16
2.08	1/3/13	1	3	2	9.16
2.12	1/3/13	1	3	3	9.17
2.17	1/3/13	1	3	4	9.17
2.21	1/3/13	1	3	5	9.17
2.25	1/3/13	1	3	6	9.18
2.29	1/3/13	1	3	7	9.18
2.33	1/3/13	1	3	8	9.18
2.37	1/3/13	1	3	9	9.19
2.42	1/3/13	1	3	10	9.19
2.46	1/3/13	1	3	11	9.19
2.5	1/3/13	1	3	12	9.2
2.54	1/3/13	1	3	13	9.2
2.58	1/3/13	1	3	14	9.2
2.62	1/3/13	1	3	15	9.21
2.67	1/3/13	1	3	16	9.21
2.71	1/3/13	1	3	17	9.21
2.75	1/3/13	1	3	18	9.22
2.79	1/3/13	1	3	19	9.22
2.83	1/3/13	1	3	20	9.22
2.87	1/3/13	1	3	21	9.23
2.92	1/3/13	1	3	22	9.23
2.96	1/3/13	1	3	23	9.23
3	1/4/13	1	4	0	9.24
3.04	1/4/13	1	4	1	9.24
3.08	1/4/13	1	4	2	9.24
3.12	1/4/13	1	4	3	9.25
3.17	1/4/13	1	4	4	9.25
3.21	1/4/13	1	4	5	9.25
3.25	1/4/13	1	4	6	9.26
3.29	1/4/13	1	4	7	9.26
3.33	1/4/13	1	4	8	9.26
3.37	1/4/13	1	4	9	9.27
3.42	1/4/13	1	4	10	9.27
